City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Nantucket,US,78.26,clear sky,41.2835,-70.0995,Jared Coffin House
218,Basoko,CD,76.82,light rain,1.2391,23.616,Jackyna Hotel
223,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
224,Krasnoarmeysk,RU,82.15,scattered clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
226,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
229,Matara,LK,80.02,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
232,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
237,Lufilufi,WS,81.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
245,Algiers,DZ,78.62,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
252,Camapua,BR,83.39,few clouds,-19.5314,-54.0439,Comercial Estrela
253,Kuri,KR,76.86,light rain,37.5986,127.1394,U&I HOTEL in Guri
264,Saint Anthony,US,77.14,smoke,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
268,Wuan,CN,83.16,clear sky,31.6836,112.0044,武镇大酒店
269,Limon,CR,80.49,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
270,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
272,Palmas De Monte Alto,BR,82.49,broken clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
273,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
274,Gurun,MY,76.78,overcast clouds,5.8172,100.4738,The Jerai Hill Resort
276,Uthal,PK,83.01,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
278,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
283,Shubarkuduk,KZ,88.57,clear sky,49.1447,56.4872,Sirius
284,Kokopo,PG,75.79,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
287,Hay River,CA,75.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
291,Okmulgee,US,81.59,heavy intensity rain,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
294,Ca Mau,VN,79.09,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
295,Coahuayana,MX,89.08,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
298,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
301,Salinopolis,BR,86.49,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
307,Male,MV,82.45,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
310,Kutum,SD,86.63,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
312,Genc,TR,80.98,overcast clouds,38.7507,40.5603,Genc Ogretmenevi
315,Kandrian,PG,76.48,broken clouds,-6.2167,149.55,Kandrian Station
317,Samarai,PG,75.52,overcast clouds,-10.6167,150.6667,Nuli Sapi
319,Bonthe,SL,78.71,light rain,7.5264,-12.505,Bonthe Holiday Village
320,Mahon,ES,75.76,scattered clouds,39.8885,4.2658,ARTIEM Capri
321,La Ronge,CA,77.25,smoke,55.1001,-105.2842,Northland Motor Hotel
322,Tucumcari,US,75.04,few clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
325,Mora,CM,81.99,overcast clouds,11.0461,14.1401,Hotel Emergence
335,Semporna,MY,79.0,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
337,Juba,SS,77.32,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
339,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
340,Quang Ngai,VN,79.7,overcast clouds,15.1167,108.8,Central Hotel
344,Sakaide,JP,81.54,overcast clouds,34.3167,133.85,HOTEL MYTH-W （ホテル マイス ダブリュー）
346,Dingle,PH,78.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
349,Mitsamiouli,KM,76.82,few clouds,-11.3847,43.2844,Foyer ADM
364,Turkan,AZ,82.58,clear sky,40.3639,50.215,Samir Зона Отдыха
366,Havelock,US,88.03,overcast clouds,34.8791,-76.9013,Sherwood Motel
368,Bud,US,75.24,clear sky,39.447,-86.1758,Ted McQuinn Trust
371,Nicoya,CR,87.35,few clouds,10.1483,-85.452,Guayacan Real
374,Karwar,IN,78.93,overcast clouds,14.8,74.1333,Netalco Connects
377,Korla,CN,81.88,overcast clouds,41.7597,86.1469,Gulisitan Hotel
379,Odweyne,SO,79.43,overcast clouds,9.4092,45.064,Eng Hiirey House
382,Manacapuru,BR,79.38,broken clouds,-3.2997,-60.6206,Novo Hotel
384,Upata,VE,84.24,clear sky,8.0086,-62.3989,Posada Villa Nela
390,Russell,US,89.51,clear sky,32.3502,-85.1999,Macs
391,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
393,Palmas,BR,89.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
396,Wabash,US,77.41,clear sky,40.7978,-85.8205,"Holiday Inn Express & Suites Wabash, an IHG Hotel"
400,Port Blair,IN,81.9,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
401,Porto Novo,BJ,82.92,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
402,Pontes E Lacerda,BR,89.65,clear sky,-15.2261,-59.3353,Hotel Bressan
408,Halifax,CA,76.51,scattered clouds,44.6453,-63.5724,Hotel Halifax
409,Pandan,PH,82.94,overcast clouds,14.0453,124.1694,Bonifacio Lodge
416,Westport,US,79.09,clear sky,41.1415,-73.3579,The Westport Inn
417,Rancho Palos Verdes,US,86.67,clear sky,33.7445,-118.387,Terranea Resort
420,Srivardhan,IN,80.51,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
422,Aquiraz,BR,88.21,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
423,Assiniboia,CA,82.31,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
427,Gasa,PS,87.91,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
429,Constantine,DZ,89.01,clear sky,36.365,6.6147,Grand Hotel Cirta
430,Bouna,CI,82.26,light rain,9.2667,-3.0,Hotel Reserve
433,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
435,Tezu,IN,77.05,few clouds,27.9167,96.1667,Circuit House
438,Kinablangan,PH,79.68,heavy intensity rain,7.6947,126.5503,Danny Moreno Property
440,Ciudad Bolivar,VE,86.43,scattered clouds,8.1222,-63.5497,Hotel Edi
